name,place,population,admin_level,x,y,geonames:id,geonames:feature_code
Williamsfield,village,,8,-77.71667,18.18333,3488017,PPL
Williamsfield,village,,8,-76.94016,18.17029,3488018,PPL
Williamsfield,village,,8,-76.4207,18.17272,3488019,PPL
Williamsfield,village,3255,8,-77.46667,18.06667,3488020,PPL
Williamsfield,village,,8,-76.98333,18.01667,3488021,PPL
Williams Field,village,,8,-76.28632,18.03946,3488022,PPL
Williamsfield,village,,8,-77.76385,17.94426,3488023,PPL
Wilderness,village,,8,-76.93333,18.4,3488025,PPL
Wilbury,village,,8,-77.18333,18.11667,3488028,PPL
Wigton,village,,8,-77.53333,17.9,3488029,PPL
Wick,village,,8,-77.34239,18.3121,3488030,PPL
Whydaw,village,,8,-76.51667,18.18333,3488031,PPL
Whorton,village,,8,-77.73333,18.06667,3488032,PPL
Whitney Turn,village,,8,-77.39355,18.03204,3488034,PPL
Whitney,village,,8,-77.38333,18.05,3488036,PPL
Whithorn,village,,8,-78.0253,18.26582,3488037,PPL
Whitfield Town,suburb,,9,-76.80894,17.99179,3488038,PPLX
Whitfield,village,,8,-77.56667,18.05,3488039,PPL
White Rock,village,,8,-77.8,17.95,3488040,PPL
White River,village,,8,-77.06756,18.41647,3488053,PPL
Whitehouse,village,,8,-77.96711,18.09342,3488056,PPL
White Horses,village,,8,-76.47458,17.87378,3488057,PPL
Whitehorns Thicket,village,,8,-77.16667,18.36667,3488059,PPL
White Hill,village,,8,-77.80782,18.15139,3488060,PPL
Whitehall,village,,8,-76.89237,18.29138,3488062,PPL
Whitehall,village,,8,-78.34542,18.2744,3488063,PPL
Whitehall,village,,8,-76.71581,18.20959,3488064,PPL
White Hall,village,,8,-77.85044,18.11084,3488065,PPL
Whitehall,village,,8,-76.44931,17.95405,3488066,PPL
Whitby,village,,8,-77.56756,18.20151,3488072,PPL
Whitaker Corner,village,,8,-77.23333,17.76667,3488073,PPL
Wheelersfield,village,,8,-76.28958,17.95575,3488075,PPL
Weymouth,village,,8,-77.43333,18.43333,3488076,PPL
Westphalia,village,,8,-77.65,18.06667,3488080,PPL
Westlands,village,,8,-78.36502,18.27328,3488084,PPL
Westfield,village,,8,-78.25,18.35,3488088,PPL
Westfield,village,,8,-76.63333,18.2,3488089,PPL
Westfield,village,,8,-77.55,17.9,3488090,PPL
Wemyss,village,,8,-77.76667,18.4,3488094,PPL
Welcome,village,,8,-77.35,18.28333,3488096,PPL
Wedge Well,village,,8,-77.23333,18.13333,3488097,PPL
Watt Town,village,,8,-77.41081,18.30908,3488100,PPL
Watson Town,village,,8,-77.75885,18.44584,3488101,PPL
Water Works,village,,8,-78.05343,18.24834,3488104,PPL
Water Wheel,village,,8,-78.05,18.2,3488105,PPL
Water Valley,village,,8,-76.82839,18.28363,3488106,PPL
Water Valley,village,,8,-76.38333,17.86667,3488107,PPL
Watermount,village,,8,-77.1,18.06667,3488109,PPL
Waterloo,village,,8,-77.35159,18.3867,3488110,PPL
Waterloo,village,,8,-77.08333,18.16667,3488111,PPL
Waterloo,village,,8,-77.05,18.06667,3488112,PPL
Waterloo,village,,8,-76.93651,18.02602,3488113,PPL
Waterhouse Pen,village,,8,-76.85,18.01667,3488114,PPL
Watchwell,village,,8,-77.75704,17.937,3488115,PPL
Washington Gardens,suburb,,9,-76.84247,18.02252,3488117,PPLX
Warwick,village,,8,-77.45243,17.90345,3488118,PPL
Warsop,village,,8,-77.57506,18.26668,3488119,PPL
Warsop,village,,8,-77.25,17.96667,3488120,PPL
Warsaw,village,,8,-76.55,18.13333,3488121,PPL
Walton,village,,8,-77.21667,18.23333,3488125,PPL
Wallingford,village,,8,-76.9968,18.27223,3488127,PPL
Wallen,village,,8,-77.25,17.96667,3488128,PPL
Walkers Wood,village,,8,-77.0824,18.31726,3488129,PPL
Walderston,village,,8,-77.48669,18.13052,3488132,PPL
Wakefield,village,2763,8,-77.72183,18.41211,3488133,PPL
Wakefield,village,,8,-77.25,18.41667,3488134,PPL
Wakefield,village,,8,-78.11436,18.22253,3488135,PPL
Wakefield,village,,8,-77.03761,18.10844,3488136,PPL
Wait a Bit,village,,8,-77.5148,18.25083,3488139,PPL
Virginia,village,,8,-77.46667,18.1,3488141,PPL
Vineyard Town,suburb,,9,-76.77467,17.98325,3488142,PPLX
Vineyard Town,suburb,,9,-76.77692,17.98657,3488143,PPLX
Vinegar Hill,village,,8,-77.96667,18.15,3488147,PPL
Villa,village,,8,-76.9,18.38333,3488150,PPL
Victoria Town,village,,8,-77.38177,17.91794,3488151,PPL
Vaz Delight,village,,8,-77.05,18.01667,3488154,PPL
Vaughansfield,village,,8,-77.79624,18.33748,3488156,PPL
Vanity Fair,village,,8,-77.03182,18.1466,3488157,PPL
Vale Royal,village,,8,-77.53333,18.43333,3488158,PPL
Usher Mount,village,,8,-76.93333,18.06667,3488160,PPL
Up Park Camp,suburb,,9,-76.7796,17.99415,3488164,PPLX
Unity Valley,village,,8,-77.11667,18.25,3488166,PPL
Unity Valley,village,,8,-76.35,17.91667,3488167,PPL
Unity Pen,village,,8,-77.31667,18.46667,3488168,PPL
Unity Hall,village,,8,-77.98175,18.44773,3488169,PPL
Unity,village,,8,-76.85686,18.13841,3488172,PPL
Unity,village,,8,-77.16667,17.95,3488173,PPL
Union Pen,village,,8,-76.95,17.96667,3488174,PPL
Union Hill,village,,8,-76.98217,18.36249,3488175,PPL
Union,village,,8,-77.06667,18.35,3488178,PPL
Ulster Spring,village,1411,8,-77.52067,18.31482,3488180,PPL
Twickenham Park,village,,8,-76.9415,18.01086,3488188,PPL
Tweedside,village,,8,-77.41356,18.17801,3488190,PPL
Tweedside,village,,8,-76.63333,18.05,3488191,PPL
Turtle Pond,village,,8,-77.24951,18.16224,3488192,PPL
Tumbridge,village,,8,-76.81667,18.05,3488197,PPL
Tulloch,village,,8,-76.99553,18.11265,3488198,PPL
Tug Hill,village,,8,-78.05,18.2,3488200,PPL
Trysee Village,village,,8,-77.3,18.45,3488202,PPL
Tryall,village,,8,-78.06667,18.45,3488203,PPL
Truro Pen,village,,8,-78.15044,18.30761,3488206,PPL
Troy,village,,8,-76.95,18.4,3488209,PPL
Troy,village,,8,-77.61695,18.24553,3488210,PPL
Troy,village,,8,-77.18333,17.93333,3488211,PPL
Trout Hall,village,,8,-77.33081,18.14305,3488212,PPL
Troja,village,,8,-76.92462,18.20502,3488214,PPL
Troja,village,,8,-76.91667,18.2,3488215,PPL
Tripoli,village,,8,-77.32603,18.45287,3488216,PPL
Trinity Ville,village,2895,8,-76.51427,17.96076,3488217,PPL
Trinity,village,,8,-76.90693,18.36436,3488218,PPL
Trenton,village,,8,-77.23887,17.95813,3488219,PPL
Trentham Park,village,,8,-76.91667,18.08333,3488220,PPL
Trench Town,suburb,,9,-76.79873,17.98886,3488221,PPLX
Tree Grove,village,,8,-76.81667,18.01667,3488223,PPL
Treasure Beach,village,,8,-77.75883,17.87674,3488224,PPL
Treadways,village,,8,-77.04205,18.18987,3488225,PPL
Treadlight,village,,8,-77.25974,17.98416,3488226,PPL
Trafalgar,village,,8,-77.96667,18.43333,3488228,PPL
Trafalgar,village,,8,-77.16667,18.35,3488229,PPL
Tows Pen,village,,8,-77.2,18.31667,3488231,PPL
Townshens Pen,village,,8,-76.95,18.01667,3488232,PPL
Town Head,village,,8,-78.14117,18.32543,3488233,PPL
Tower Hill,village,,8,-76.65098,18.0128,3488236,PPL
Torrington Castle,village,,8,-77.6984,17.9462,3488240,PPL
Torrington,village,,8,-78.111,18.24663,3488241,PPL
Top Hill,village,,8,-76.92869,18.32519,3488243,PPL
Top Hill,village,,8,-77.64367,17.89274,3488244,PPL
Top Buxton,village,,8,-77.32787,18.3414,3488246,PPL
Toms River,village,,8,-76.82986,18.15891,3488248,PPL
Tom Spring,village,,8,-78.14156,18.40671,3488249,PPL
Toms Hope,village,,8,-76.44355,18.13978,3488250,PPL
Tomsfield,village,,8,-76.51667,18.13333,3488252,PPL
Tommy Bush,village,,8,-77.93333,18.1,3488254,PPL
Tom Kings,village,,8,-77.21667,18.06667,3488255,PPL
Lacovia Tombstone,village,,8,-77.77235,18.08679,3488256,PPL
Toll Gate,village,,8,-77.36122,17.97424,3488257,PPL
Tobolski,village,,8,-77.37782,18.37006,3488258,PPL
Titchfield,village,,8,-77.35,18.33333,3488260,PPL
Time and Patience,village,,8,-77.03824,18.16126,3488264,PPL
Three Mile River,village,,8,-78.13552,18.26175,3488267,PPL
Three Mile,suburb,,9,-76.81987,17.99764,3488268,PPLX
Thornton,village,,8,-77.71353,18.19379,3488269,PPL
Thornton,village,,8,-76.40178,17.95102,3488270,PPL
Thornhill,village,,8,-77.96667,18.15,3488271,PPL
Thorn Hill,village,,8,-77.48333,18.05,3488272,PPL
Thomson Hill,village,,8,-78.04554,18.39273,3488274,PPL
Thompson Town,village,,8,-77.36194,18.0848,3488275,PPL
Thompsons Bush,village,,8,-78.05,18.4,3488277,PPL
Thompson Pen,village,,8,-76.94451,18.00344,3488278,PPL
Thompson,village,,8,-77.3,18.1,3488279,PPL
Thicket,village,,8,-77.4,17.93333,3488282,PPL
Thetford Mountain,village,,8,-77.13333,18.08333,3488284,PPL
Thetford,village,,8,-77.0833,17.95,3488287,PPL
The Shambles,village,,8,-77.53333,17.96667,3488288,PPL
The Rock,village,,8,-77.6323,18.48188,3488289,PPL
The Rest,village,,8,-77.03333,18.01667,3488290,PPL
The Lodge,village,,8,-77.03333,18.13333,3488291,PPL
The Cross,village,,8,-77.21667,17.95,3488292,PPL
The Cottage,village,,8,-76.88868,18.26358,3488293,PPL
The Cooperage,village,,8,-76.73031,18.03398,3488294,PPL
The Alves,village,,8,-77.18333,18.11667,3488295,PPL
The Alps,village,,8,-77.51667,18.33333,3488296,PPL
The Alley,village,,8,-77.27209,17.80395,3488297,PPL
Thatch Walk,village,,8,-77.25,18.38333,3488299,PPL
Thatch Pen,village,,8,-77.31667,18.01667,3488302,PPL
Thatchfield,village,,8,-77.4,18.35,3488303,PPL
Tharp Pen,village,,8,-77.08333,17.96667,3488305,PPL
Teak Pen,village,,8,-77.26368,18.04837,3488311,PPL
Taylors,village,,8,-76.9,18.03333,3488315,PPL
Tarwood,village,,8,-78.05,18.38333,3488316,PPL
Tarentum,village,,8,-76.93333,18.05,3488317,PPL
Tanglewood,village,,8,-77.23177,18.44032,3488318,PPL
Tales Pen,village,,8,-76.96667,18.01667,3488320,PPL
Sydenham,village,,8,-76.98172,17.98632,3488323,PPL
Swift River,village,,8,-76.5901,18.16876,3488327,PPL
Sweet River,village,,8,-78.06667,18.23333,3488331,PPL
Swansea,village,,8,-77.15,18.15,3488335,PPL
Swallowfield,village,,8,-76.8,18.05,3488337,PPL
Suttons,village,,8,-77.23764,18.07396,3488338,PPL
Suttons,village,,8,-77.25,17.8,3488339,PPL
Sussex,village,,8,-77.21667,18.41667,3488340,PPL
Susan Hill,village,,8,-77.11667,18.36667,3488341,PPL
Sunny Bank,village,,8,-76.31667,17.96667,3488344,PPL
Sunning Hill,village,,8,-76.38772,17.95007,3488345,PPL
Sunflower,village,,8,-76.35,17.96667,3488346,PPL
Summer Hill,village,,8,-77.81667,18.36667,3488349,PPL
Suffolk Park,village,,8,-76.28333,17.95,3488355,PPL
Success,village,,8,-78.04713,18.37747,3488357,PPL
Success,village,,8,-77.75,17.93333,3488358,PPL
Sturge Town,village,,8,-77.31772,18.41833,3488363,PPL
Struie,village,,8,-77.95745,18.26506,3488364,PPL
Stricklands,village,,8,-77.43333,18.05,3488366,PPL
Strawberry,village,,8,-77.33289,18.42367,3488368,PPL
Stony Hill,village,8551,8,-76.78473,18.07916,3488380,PPL
Stony Gut,village,,8,-76.42469,17.92745,3488382,PPL
Stone Hill,village,,8,-77.11667,18.03333,3488385,PPL
Stonehenge,village,,8,-77.55,18.38333,3488387,PPL
Stonehenge,village,,8,-77.8609,18.24201,3488388,PPL
Stokes Hall,village,,8,-76.28504,17.92536,3488389,PPL
Stirling Castle,village,,8,-77.03839,18.17551,3488392,PPL
Stirling Castle,village,,8,-77.58333,18.1,3488393,PPL
Stirling Castle,village,,8,-76.83333,18.05,3488394,PPL
Stirling,village,,8,-77.3,18.28333,3488395,PPL
Stewart Town,village,,8,-77.4475,18.38727,3488398,PPL
Stewarton,village,,8,-77.35591,18.02661,3488400,PPL
Stewarton,village,,8,-77.35,18.01667,3488401,PPL
Stewarton,village,,8,-77.24266,17.99238,3488402,PPL
Stettin,village,,8,-77.53333,18.28333,3488405,PPL
Stepney,village,,8,-77.29475,18.28481,3488406,PPL
Steer Town,village,,8,-77.16471,18.4168,3488407,PPL
Steerfield,village,,8,-77.1567,18.34639,3488408,PPL
Steelfield,village,,8,-77.55,18.45,3488409,PPL
Starapple Grove,village,,8,-76.66667,18.2,3488411,PPL
Stanton Harcourt,village,,8,-76.44958,18.12915,3488412,PPL
Stanton,village,,8,-76.4,17.88333,3488413,PPL
Stanmore Grove,village,,8,-77.08333,18.4,3488414,PPL
Stanmore,village,,8,-76.46667,17.86667,3488415,PPL
Stanberry Grove,village,,8,-76.94016,18.07651,3488416,PPL
Staketon,village,,8,-77.13333,18.31667,3488417,PPL
Spur Tree,village,,8,-77.55443,18.01068,3488419,PPL
Spring Village,village,,8,-77.07304,17.95973,3488420,PPL
Spring Valley,village,,8,-78.23743,18.40341,3488421,PPL
Spring Valley,village,,8,-77.03333,18.4,3488422,PPL
Spring Vale,village,,8,-77.76667,18.38333,3488425,PPL
Springvale,village,,8,-77.84451,18.13654,3488426,PPL
Springvale,village,,8,-77.05521,18.08813,3488427,PPL
Spring Rises,village,,8,-77.58516,18.4754,3488428,PPL
Spring Park,village,,8,-77.86667,18.05,3488429,PPL
Spring Mount,village,,8,-77.85,18.38333,3488430,PPL
Spring Hill,village,,8,-76.71596,18.13274,3488431,PPL
Spring Grove,village,,8,-76.95,18.4,3488434,PPL
Spring Garden,village,,8,-77.82265,18.37481,3488436,PPL
Spring Garden,village,,8,-77.56867,18.29802,3488437,PPL
Spring Garden,village,,8,-76.63811,18.22098,3488438,PPL
Spring Garden,village,,8,-77.06941,17.98535,3488439,PPL
Spring Garden,village,,8,-76.42087,17.92143,3488440,PPL
Springfield,village,,8,-77.84392,18.37437,3488443,PPL
Springfield,village,,8,-78.3,18.26667,3488444,PPL
Springfield,village,,8,-76.96693,18.25527,3488445,PPL
Springfield,village,,8,-76.73333,18.21667,3488446,PPL
Springfield,village,,8,-77.87219,18.17249,3488447,PPL
Springfield,village,,8,-76.58333,18.15,3488448,PPL
Springfield,village,,8,-76.27663,17.90424,3488449,PPL
Springfield,village,,8,-77.32997,17.85863,3488450,PPL
Spring Bank,village,,8,-76.32608,17.96394,3488451,PPL
Spot Valley,village,,8,-77.79107,18.4953,3488454,PPL
Spotfield,village,,8,-77.55872,18.40256,3488455,PPL
Spitzbergen,village,,8,-77.48333,18.11667,3488456,PPL
Spicy Grove,village,,8,-76.94834,18.39721,3488458,PPL
Spicy Grove,village,,8,-76.73623,18.24801,3488459,PPL
Spencers Pen,village,,8,-76.95,18.01667,3488460,PPL
Speculation,village,,8,-77.87933,18.06572,3488462,PPL
Spa Spring,village,,8,-76.68333,18.08333,3488463,PPL
Spanish Well,village,,8,-77.38333,18.01667,3488464,PPL
Spanish Town,city,145018,8,-76.95742,17.99107,3488465,PPLA
Spaldings,village,,8,-77.45775,18.15549,3488469,PPL
Southfield,village,,8,-77.28333,18.43333,3488478,PPL
Southfield,village,2695,8,-77.66713,17.8878,3488479,PPL
Soursop Turn,village,,8,-77.22404,18.02838,3488486,PPL
Sooky Gal,village,,8,-76.9,18.13333,3488487,PPL
Sommers Town,village,,8,-76.43333,18.16667,3488488,PPL
Sommerset,village,,8,-77.31667,18.36667,3488489,PPL
Somerville,village,,8,-77.05,18.13333,3488490,PPL
Somerton,village,,8,-77.78525,18.42967,3488491,PPL
Somerset Hall,village,,8,-77.15,18.03333,3488492,PPL
Somerset,village,,8,-77.55,18.06667,3488493,PPL
Somerset,village,,8,-76.63155,17.99469,3488494,PPL
Somerset,village,,8,-76.53564,17.98037,3488495,PPL
Soho,village,,8,-77.4,17.95,3488498,PPL
Soho,village,,8,-76.44819,17.94543,3488499,PPL
Socks Lodge,village,,8,-77.41667,18.45,3488500,PPL
Snowdon,village,,8,-77.48333,17.95,3488501,PPL
Smithville,village,,8,-77.37671,18.10586,3488506,PPL
Smithville,village,,8,-77.36667,18.1,3488507,PPL
Smith Village,village,,8,-76.2961,18.04762,3488508,PPL
Smiths Pen,village,,8,-76.8,18.05,3488509,PPL
Smithfield,village,,8,-78.09333,18.41055,3488511,PPL
Smithfield,village,,8,-76.71667,18.11667,3488512,PPL
Smithfield,village,,8,-77.81667,17.95,3488513,PPL
Smithfield,village,,8,-77.48273,17.90047,3488514,PPL
Slipe,village,,8,-77.78861,18.04677,3488517,PPL
Sligoville,village,,8,-76.95,18.1,3488518,PPL
Slanmore,village,,8,-76.85,18.05,3488520,PPL
Skipton,village,,8,-77.41667,18.31667,3488522,PPL
Skibo,village,,8,-76.63442,18.19219,3488523,PPL
Skibo,village,,8,-76.55,18.13333,3488524,PPL
Six Miles,suburb,,9,-76.85497,18.0273,3488526,PPLX
Simpsons,village,,8,-77.23333,17.75,3488532,PPL
Simmers Valley,village,,8,-77.01667,18.23333,3488535,PPL
Silver Sands,village,,8,-77.53057,18.48361,3488536,PPL
Silver Hill,village,,8,-76.71278,18.15301,3488539,PPL
Siloah,village,2725,8,-77.70348,18.16709,3488540,PPL
Sidney Castle,village,,8,-77.26667,18.43333,3488543,PPL
Siberia,village,,8,-77.4,18.35,3488545,PPL
Shrewsbury,village,,8,-78.06667,18.26667,3488547,PPL
Shrewsbury,village,,8,-76.55137,18.16099,3488548,PPL
Shrewsbury,village,,8,-77.9137,18.08032,3488549,PPL
Showfield,village,,8,-77.68333,18.45,3488550,PPL
Shotover,village,,8,-76.48231,18.17244,3488551,PPL
Shooters Hill,village,,8,-77.46667,18.08333,3488555,PPL
Shirley Pen,village,,8,-76.63333,18.18333,3488559,PPL
Shirley Castle,village,,8,-76.61377,18.15554,3488560,PPL
Shirehampton,village,,8,-77.58333,18.08333,3488561,PPL
Shickles Pen,village,,8,-77.3,17.96667,3488563,PPL
Shettlewood,village,,8,-77.95,18.35,3488564,PPL
Sherwood Forest,village,,8,-76.37778,18.14813,3488565,PPL
Sherwood Forest,village,,8,-76.61667,18.03333,3488566,PPL
Sherwood Forest,village,,8,-77.45,17.96667,3488567,PPL
Shepperds Hall,village,,8,-78.05,18.4,3488568,PPL
Sheffield,village,,8,-78.30308,18.27919,3488571,PPL
Sheerness,village,,8,-76.8,18.31667,3488572,PPL
Shaws,village,,8,-77.81341,18.11365,3488575,PPL
Shaw Park,village,,8,-77.10818,18.40148,3488576,PPL
Seville Heights,village,,8,-77.22122,18.43589,3488580,PPL
Seville,village,,8,-77.22104,18.44269,3488581,PPL
Sevens,village,,8,-77.2091,17.99686,3488584,PPL
Seven Rivers,village,,8,-77.91701,18.34226,3488585,PPL
Seven Oaks,village,,8,-77.35,18.45,3488586,PPL
Seven Mile,village,,8,-76.69943,17.94736,3488587,PPL
Seven Doubloons,village,,8,-77.01667,18.01667,3488588,PPL
Seven Corners,village,,8,-77.7044,18.01996,3488589,PPL
Serge Island,village,,8,-76.48333,17.95,3488590,PPL
Seniors,village,,8,-77.41667,17.95,3488592,PPL
Selington,village,,8,-77.90533,18.0706,3488593,PPL
Sedburgh,village,,8,-77.48999,18.15947,3488594,PPL
Sea View,village,,8,-77.22576,18.39903,3488595,PPL
Seamans Valley,village,,8,-76.4415,18.0925,3488596,PPL
Seaforth,village,4550,8,-76.4573,17.93578,3488597,PPL
Seaford Town,village,,8,-77.90307,18.24995,3488598,PPL
Seafield,village,,8,-77.70345,18.49314,3488599,PPL
Scotts Pass,village,,8,-77.38177,18.00759,3488600,PPL
Scotia,village,,8,-77.46667,17.93333,3488602,PPL
Schwallenburgh,village,,8,-77.09486,18.22867,3488603,PPL
Scholefield,village,,8,-77.70992,18.00777,3488604,PPL
Scarlett Hall,village,,8,-77.31667,18.46667,3488605,PPL
Scarborough,village,,8,-77.38333,18.3,3488606,PPL
Saxony Pen,village,,8,-77.35,17.95,3488607,PPL
Saxham,village,,8,-78.24131,18.37375,3488608,PPL
Sawyers,village,,8,-77.48766,18.37716,3488610,PPL
Savanna-la-Mar,town,16553,8,-78.1332,18.21895,3488613,PPLA
Santamaria,village,,8,-77.23333,18.13333,3488617,PPL
Santa Maria,village,,8,-76.8779,18.07525,3488618,PPL
Santa Cruz,village,8217,8,-77.69836,18.05336,3488620,PPL
Sanguinetti,village,,8,-77.4358,18.157,3488622,PPL
Sandy Gully,village,,8,-77.28333,17.9,3488632,PPL
Sandy Ground,village,,8,-77.90515,18.05119,3488633,PPL
Sandy Bay,village,4520,8,-78.07321,18.44854,3488635,PPL
Sandy Bay,village,,8,-77.1621,17.93472,3488636,PPL
Sandy Bay,village,,8,-77.18333,17.81667,3488637,PPL
Sandside,village,,8,-76.90566,18.34127,3488640,PPL
Salt Spring,village,,8,-77.86938,18.48755,3488646,PPL
Salt Spring,village,,8,-78.27038,18.37759,3488647,PPL
Salt River,village,,8,-77.16869,17.83729,3488657,PPL
Salt Pond Pen,village,,8,-76.93333,17.95,3488659,PPL
Salt Gut,village,,8,-76.96944,18.40148,3488671,PPL
Salters Hill,village,,8,-77.83552,18.4287,3488673,PPL
Sallys Hall,village,,8,-77.73333,18.1,3488677,PPL
Sallys Delight,village,,8,-77.05,18.01667,3488678,PPL
Salisbury,village,,8,-77.3,18.46667,3488679,PPL
Salisbury,village,,8,-77.1048,18.35008,3488680,PPL
Salisbury,village,,8,-77.01667,18.3,3488681,PPL
Salisbury,village,,8,-76.85718,18.10115,3488682,PPL
Salem,village,,8,-77.30343,18.46698,3488683,PPL
Salem,village,,8,-78.3,18.36667,3488684,PPL
Salem,village,,8,-76.83256,18.29225,3488685,PPL
Saint Vincent,village,,8,-77.54851,18.29716,3488686,PPL
Saint Toolies,village,,8,-77.40923,17.98855,3488687,PPL
Saint Peter’s,village,,8,-76.68462,18.06701,3488689,PPL
Saint Pauls,village,,8,-77.62309,18.15029,3488690,PPL
Saint Mountain,village,,8,-77.15,18.3,3488691,PPL
Saint Mary’s,village,,8,-78.66667,17.91667,3488692,PPL
Saint Margaret’s Bay,village,,8,-76.53162,18.1925,3488694,PPL
Saint Leonards,village,,8,-77.89683,18.2555,3488696,PPL
Saint John’s,village,,8,-77.15496,18.2097,3488699,PPL
Saint Jago,village,,8,-77.37904,17.95157,3488701,PPL
Saint Helens,village,,8,-77.05,17.95,3488702,PPL
Saint Helena,village,,8,-77.43333,18.1,3488703,PPL
Saint Faiths,village,,8,-77.1,18.23333,3488706,PPL
Saint Faiths,village,,8,-77.11506,18.04659,3488707,PPL
Saint D’Acre,village,,8,-77.36366,18.31946,3488709,PPL
Saint Christopher,village,,8,-76.83509,18.0945,3488710,PPL
Saint Ann’s Bay,town,13671,8,-77.20098,18.43581,3488713,PPLA
Sadlers Hall,village,,8,-77.99914,18.349,3488718,PPL
Russells,village,,8,-77.66151,17.98541,3488720,PPL
Russell Pen,village,,8,-77.03379,18.1638,3488721,PPL
Russell Pen,village,,8,-77.2,17.96667,3488722,PPL
Runaway Bay,village,6517,8,-77.3357,18.45962,3488726,PPL
Rules Pen,village,,8,-77.21667,17.95,3488728,PPL
Rozelle,village,,8,-76.45,17.86667,3488730,PPL
Royal Flat,village,,8,-77.47279,18.05529,3488731,PPL
Roxbro,village,,8,-77.88333,18.36667,3488732,PPL
Roxborough,village,,8,-77.46667,18.01667,3488733,PPL
Rowlandsfield,village,,8,-76.28595,17.97812,3488734,PPL
Rowington Park,village,,8,-77.31667,17.9,3488735,PPL
Rowes Corner,village,,8,-77.55605,17.89255,3488736,PPL
Round Hill,village,,8,-78.01667,18.45,3488738,PPL
Rotherwood,village,,8,-77.96667,18.2,3488741,PPL
Roslin Castle,village,,8,-77.61667,18.45,3488743,PPL
Rosewell,village,,8,-77.16542,17.95979,3488744,PPL
Rose Valley,village,,8,-77.15,17.98333,3488745,PPL
Rosetta,village,,8,-77.36667,18.31667,3488746,PPL
Rosend,village,,8,-76.83785,18.29677,3488747,PPL
Rosemount,village,,8,-77.8969,18.47682,3488748,PPL
Rosemount,village,,8,-77.05,18.01667,3488749,PPL
Rose Hill,village,,8,-77.76681,18.49363,3488751,PPL
Rose Hill,village,,8,-76.93738,18.22608,3488752,PPL
Rose Hill,village,,8,-76.68333,18.15,3488753,PPL
Rose Hall,village,,8,-77.26667,18.43333,3488756,PPL
Rose Hall,village,,8,-77.64695,17.92558,3488757,PPL
Roseberry,village,,8,-77.68333,17.96667,3488759,PPL
Roscommon,village,,8,-77.05,18.4,3488760,PPL
Rome,village,,8,-78.04519,18.41857,3488761,PPL
